topic,messages_in_buffer,messages_ever_sent
gracedb-playground.test_integral,0,0
lvalert-test.test_swift_subgrb,0,0
sys.heartbeat-cit,2496096,36889756
gracedb-playground.external_snews_subgrb,0,0
gracedb.cbc_mbtaonline,0,1
gracedb.superevent,3,283554
lvalert-dev.external_snews,0,0
lvalert-test.test_swift_grb,0,0
gracedb-test01.test_agile_subgrbtargeted,0,0
circuses-demo.demo,0,0
gracedb-test01.test_mbta_allsky,0,0
sys.heartbeat-psu,0,0
gracedb-playground.test_pycbc_earlywarning,0,11642
lvalert-dev.test_fermi_grb,0,0
gracedb-test01.test_superevent,0,0
gracedb-playground.cbc_mbta_lowmass,0,23492
gracedb-test.cbc_gstlal,105355,3100524
lvalert-test.external_snews_supernova,0,0
rubin.testing-schema,0,0
snews.alert,0,0
gracedb-test01.burst_olib,0,5
snews.mma-external,0,0
gracedb-test01.cbc_gstlal_mdc,40678,786045
lvalert-dev.external_swift_grb,0,0
cmb-s4-fabric-tests.phase-one-testing,0,0
gracedb-test.cbc_spiir_mdc,0,847
lvalert-test.test_swift,0,0
gracedb-test.external_agile_grb,0,188
bad-medicine.poison,0,0
cmb-s4-fabric-tests.housekeeping-test,0,0
lvalert-test.external_integral_grb,0,0
gracedb.test_mbtaonline,0,3
gracedb-playground.cbc_mbta,30916,1260543
lvalert-dev.burst_cwb_mdc,0,0
gracedb-test01.external_snews,306,3855
gracedb-playground.external_fermi,16579,307377
gracedb.external_fermi_grb,1361,26721
gracedb-test01.cbc_mbtaonline,2,415
gracedb-test01.external_swift_grb,191,758
gracedb.test_fermi_subgrbtargeted,0,1
lvalert-dev.test_cwb_imbh,0,0
gracedb-playground.test_mly,0,20
gracedb.cbc_spiir,0,78546
lvalert-test.test_cwb_imbh,0,0
gracedb-playground.test_snews,0,0
gracedb-playground.test_mbta,0,51
lvalert-dev.test_cwb,2,2
gracedb-test01.test_pycbc,0,13
lvalert-test.test_spiir_earlywarning,0,0
gracedb-playground.external_snews_supernova,0,0
gracedb-test.test_snews_subgrb,0,0
gracedb-playground.test_mbta_earlywarning,0,0
gracedb-test.external_snews,775,8804
icecube.test_gfu_scrambled,17574,511191
lvalert-dev.burst_mly_allsky,0,0
gracedb-playground.external_integral_subgrb,0,0
gracedb.test_gstlal_earlywarning,0,1
gracedb.burst_olib_mdc,0,1
gracedb.test_olib,0,0
gracedb-playground.burst_cwb_imbh,0,1569
gracedb-test01.cbc_gstlal_allsky,43711,50800
gracedb-test.test_pycbc_earlywarning,0,0
sys.new-test,0,5
gracedb-test01.cbc_mbta_allsky,2973,4197
gracedb-playground.cbc_spiir,0,137907
gracedb-test.test_cwb_allsky,0,32
lvalert-dev.test_swift_grb,0,0
sys.heartbeatnew,0,0
gracedb-test01.test_snews_supernova,10,127
gracedb-test.test_superevent,439,50672
gracedb-test.cbc_pygrb_frb,0,2
lvalert-dev.test_snews,0,0
lvalert-dev.test_spiir,10,10
gracedb.cbc_gstlal,6610,637989
lvalert-dev.cbc_spiir_allsky,0,10
lvalert-test.test_cwb_bbh,0,0
gracedb.burst_mly_bbh,0,1
lvalert-dev.test_mbtaonline,2,2
gracedb-test.mdc_superevent,57846,1371392
lvalert-dev.test_agile_subgrb,0,0
gracedb.external_integral_grb,0,1393
gracedb-test.cbc_mbtaonline_allsky,0,497
gracedb-test.external_snews_supernova,0,0
gracedb-test01.test_mbtaonline,0,18
gracedb.burst_cwb_mdc,0,1
gracedb.test_superevent,0,567
lvalert-dev.cbc_spiir,0,10
gracedb-test01.external_agile,0,4659
gracedb.cbc_mbtaonline_allsky,0,1
gracedb-test01.cbc_pycbc_earlywarning,1088,1301
gracedb-playground.test_fermi,0,20
gracedb-test01.cbc_pycbc_mdc,0,1187
gracedb-test.external_swift_subgrbtargeted,0,0
gracedb-test.test_mly_mdc,0,0
gracedb-playground.external_fermi_subgrbtargeted,5337,38690
gracedb-test.cbc_mbtaonline,0,500
lvalert-test.test_fermi_grb,0,0
gracedb.cbc_mbta_mdc,0,1
gracedb-test01.test_integral_subgrbtargeted,0,0
gracedb-test.cbc_mbta_lowmass,0,5267
lvalert-test.test_agile_subgrbtargeted,0,0
icecube.test,0,107
lvk-emfollow.gwalert,0,0
lvalert-test.external_snews_subgrb,0,0
lvalert-dev.test_spiir_allsky,0,0
snews.mma-firedrill,0,0
lvalert-dev.burst_mly_mdc,0,0
gracedb-playground.test_mbtaonline,0,0
gracedb-test.test_agile,0,5
lvalert-test.test_integral_grb,0,0
